Event_ID,Event_Date,Model_Name,Region,Predicted_Class,Actual_Class,Prediction_Score,Latency_ms,Inference_Cost_USD,Drift_Score,Fairness_Gap,Business_Value_USD,Outcome_Status,Prediction_Correct,Drift_Alert,Fairness_Alert,Latency_Alert,Model_Health
EVT10119,2026-02-04,Demand_Model,South,Positive,Negative,0.799,164.5,0.124,0.116,0.09,539.09,Failure,0,Normal,Normal,Normal,Healthy
EVT10115,2026-02-06,Demand_Model,North,Positive,Positive,0.795,172.2,0.169,0.226,0.048,1366.22,Success,1,Alert,Normal,Normal,Needs Attention
EVT10176,2026-06-01,Demand_Model,North,Negative,Negative,0.575,199.7,0.095,0.105,0.0935,418.68,Success,1,Normal,Normal,Normal,Healthy
EVT10193,2026-04-23,Fraud_Model,West,Positive,Negative,0.894,129.0,0.174,0.258,0.156,506.77,Success,0,Alert,Alert,Normal,Needs Attention
EVT10273,2026-04-09,Demand_Model,West,Positive,Positive,0.647,188.5,0.16,0.312,0.093,424.25,Success,1,Alert,Normal,Normal,Needs Attention
EVT10145,2026-06-09,Churn_Model,North,Negative,Positive,0.791,133.1,0.02,0.049,0.121,215.5,Success,0,Normal,Alert,Normal,Needs Attention
EVT10489,2026-05-04,Fraud_Model,South,Negative,Positive,0.667,218.7,0.024,0.301,0.135,1227.51,Success,0,Alert,Alert,Normal,Needs Attention
EVT10383,2026-03-27,Demand_Model,North,Negative,Negative,0.81,230.8,0.147,0.181,0.146,239.23,Success,1,Normal,Alert,Normal,Needs Attention
EVT10356,2026-05-17,Demand_Model,South,Negative,Positive,0.689,261.8,0.103,0.187,0.073,879.09,Success,0,Normal,Normal,Normal,Healthy
EVT10278,2026-04-20,Fraud_Model,South,Positive,Negative,0.712,146.4,0.134,0.156,0.063,1359.01,Failure,0,Normal,Normal,Normal,Healthy
EVT10221,2026-05-28,Demand_Model,West,Positive,Negative,0.896,218.9,0.036,0.128,0.156,84.96,Success,0,Normal,Alert,Normal,Needs Attention
EVT10450,2026-03-17,Churn_Model,North,Positive,Negative,0.888,94.0,0.088,0.106,0.158,975.81,Success,0,Normal,Alert,Normal,Needs Attention
EVT10142,2026-01-29,Fraud_Model,East,Positive,Positive,0.561,177.4,0.067,0.159,0.088,138.6,Success,1,Normal,Normal,Normal,Healthy
EVT10369,2026-02-26,Demand_Model,East,Negative,Positive,0.959,154.7,0.105,0.293,0.044,338.28,Success,0,Alert,Normal,Normal,Needs Attention
EVT10068,2026-04-16,Churn_Model,West,Negative,Negative,0.53,222.9,0.027,0.284,0.114,759.1,Success,1,Alert,Alert,Normal,Needs Attention
EVT10361,2026-01-26,Demand_Model,West,Negative,Negative,0.883,133.1,0.164,0.164,0.113,489.1,Success,1,Normal,Alert,Normal,Needs Attention
EVT10169,2026-04-13,Demand_Model,North,Positive,Negative,0.899,120.7,0.033,0.289,0.189,948.95,Success,0,Alert,Alert,Normal,Needs Attention
EVT10498,2026-06-10,Churn_Model,East,Negative,Positive,0.774,422.5,0.124,0.136,0.005,1192.56,Success,0,Normal,Normal,Alert,Needs Attention
EVT10379,2026-04-02,Demand_Model,East,Negative,Negative,0.935,199.5,0.131,0.22,0.066,1129.87,Success,1,Alert,Normal,Normal,Needs Attention
EVT10366,2026-01-13,Demand_Model,West,Positive,Negative,0.699,95.7,0.115,0.334,0.019,557.29,Success,0,Alert,Normal,Normal,Needs Attention
EVT10194,2026-01-02,Fraud_Model,East,Negative,Negative,0.451,161.9,0.077,0.217,0.048,1197.54,Success,1,Alert,Normal,Normal,Needs Attention
EVT10250,2026-02-17,Demand_Model,South,Negative,Negative,0.777,104.7,0.083,0.191,0.18,460.88,Failure,1,Normal,Alert,Normal,Needs Attention
EVT10110,2026-06-11,Churn_Model,East,Negative,Positive,0.891,105.9,0.059,0.127,0.197,1466.7,Success,0,Normal,Alert,Normal,Needs Attention
EVT10434,2026-05-09,Fraud_Model,West,Positive,Positive,0.971,256.7,0.045,0.044,0.133,611.8,Success,1,Normal,Alert,Normal,Needs Attention
EVT10146,2026-03-12,Demand_Model,South,Positive,Positive,0.482,204.4,0.127,0.27,0.173,1414.52,Success,1,Alert,Alert,Normal,Needs Attention
EVT10093,2026-03-29,Demand_Model,South,Negative,Positive,0.764,161.9,0.073,0.127,0.101,482.21,Success,0,Normal,Alert,Normal,Needs Attention
EVT10153,2026-05-14,Churn_Model,North,Negative,Positive,0.841,198.9,0.061,0.239,0.027,713.29,Success,0,Alert,Normal,Normal,Needs Attention
EVT10223,2026-05-27,Churn_Model,North,Negative,Positive,0.959,150.8,0.172,0.064,0.041,234.29,Success,0,Normal,Normal,Normal,Healthy
EVT10410,2026-04-09,Churn_Model,East,Negative,Negative,0.815,354.5,0.125,0.33,0.158,508.31,Success,1,Alert,Alert,Alert,Needs Attention
EVT10084,2026-05-04,Fraud_Model,South,Positive,Positive,0.556,154.6,0.14,0.089,0.059,1162.87,Success,1,Normal,Normal,Normal,Healthy
EVT10249,2026-05-09,Demand_Model,West,Positive,Negative,0.619,144.7,0.048,0.197,0.088,1192.23,Failure,0,Normal,Normal,Normal,Healthy
EVT10166,2026-05-01,Fraud_Model,East,Positive,Positive,0.636,169.7,0.092,0.107,0.14,285.68,Success,1,Normal,Alert,Normal,Needs Attention
EVT10164,2026-05-01,Churn_Model,South,Negative,Negative,0.667,153.3,0.105,0.079,0.175,1308.85,Failure,1,Normal,Alert,Normal,Needs Attention
EVT10200,2026-05-06,Demand_Model,West,Positive,Positive,0.976,175.8,0.143,0.326,0.198,518.49,Success,1,Alert,Alert,Normal,Needs Attention
EVT10232,2026-02-08,Fraud_Model,South,Positive,Negative,0.741,105.7,0.057,0.151,0.131,433.48,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10075,2026-04-05,Demand_Model,West,Positive,Positive,0.836,205.2,0.015,0.036,0.073,223.36,Failure,1,Normal,Normal,Normal,Healthy
EVT10311,2026-04-21,Fraud_Model,North,Positive,Positive,0.764,218.9,0.031,0.055,0.091,1446.58,Success,1,Normal,Normal,Normal,Healthy
EVT10455,2026-01-29,Fraud_Model,North,Negative,Positive,0.925,152.5,0.073,0.347,0.019,1359.67,Failure,0,Alert,Normal,Normal,Needs Attention
EVT10254,2026-01-09,Churn_Model,East,Positive,Negative,0.621,200.3,0.065,0.19,0.106,956.73,Success,0,Normal,Alert,Normal,Needs Attention
EVT10120,2026-04-11,Fraud_Model,South,Positive,Positive,0.544,139.4,0.109,0.067,0.183,1415.29,Success,1,Normal,Alert,Normal,Needs Attention
EVT10285,2026-02-02,Fraud_Model,West,Positive,Negative,0.873,260.1,0.059,0.264,0.002,1408.55,Success,0,Alert,Normal,Normal,Needs Attention
EVT10302,2026-04-19,Churn_Model,East,Negative,Positive,0.734,286.4,0.134,0.148,0.065,1160.66,Success,0,Normal,Normal,Normal,Healthy
EVT10482,2026-05-08,Demand_Model,North,Negative,Negative,0.808,338.0,0.136,0.306,0.025,349.54,Success,1,Alert,Normal,Alert,Needs Attention
EVT10357,2026-02-12,Fraud_Model,East,Positive,Negative,0.476,152.4,0.063,0.031,0.113,679.38,Success,0,Normal,Alert,Normal,Needs Attention
EVT10403,2026-01-05,Fraud_Model,East,Negative,Positive,0.501,194.2,0.083,0.114,0.069,231.79,Success,0,Normal,Normal,Normal,Healthy
EVT10229,2026-06-10,Demand_Model,North,Negative,Positive,0.661,117.2,0.016,0.194,0.187,335.49,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10262,2026-04-30,Churn_Model,North,Negative,Positive,0.493,140.7,0.15,0.289,0.031,1431.0,Success,0,Alert,Normal,Normal,Needs Attention
EVT10238,2026-05-31,Demand_Model,West,Negative,Negative,0.564,152.8,0.154,0.303,0.048,695.81,Success,1,Alert,Normal,Normal,Needs Attention
EVT10438,2026-02-03,Demand_Model,East,Positive,Positive,0.673,158.9,0.098,0.063,0.086,435.7,Success,1,Normal,Normal,Normal,Healthy
EVT10475,2026-01-01,Churn_Model,South,Negative,Negative,0.721,228.2,0.076,0.185,0.024,314.56,Failure,1,Normal,Normal,Normal,Healthy
EVT10037,2026-03-05,Demand_Model,South,Negative,Positive,0.863,153.0,0.029,0.15,0.187,483.24,Success,0,Normal,Alert,Normal,Needs Attention
EVT10197,2026-03-28,Churn_Model,West,Positive,Positive,0.706,157.7,0.063,0.136,0.005,495.11,Success,1,Normal,Normal,Normal,Healthy
EVT10140,2026-05-23,Demand_Model,West,Negative,Positive,0.619,148.9,0.148,0.179,0.06,161.25,Success,0,Normal,Normal,Normal,Healthy
EVT10368,2026-05-15,Demand_Model,South,Positive,Positive,0.974,142.1,0.027,0.209,0.033,1001.06,Success,1,Alert,Normal,Normal,Needs Attention
EVT10248,2026-01-02,Fraud_Model,South,Positive,Negative,0.709,178.8,0.126,0.157,0.064,1246.04,Success,0,Normal,Normal,Normal,Healthy
EVT10288,2026-02-17,Demand_Model,West,Positive,Negative,0.823,217.1,0.103,0.339,0.022,1147.3,Success,0,Alert,Normal,Normal,Needs Attention
EVT10378,2026-05-23,Churn_Model,South,Positive,Positive,0.728,279.8,0.173,0.321,0.056,529.31,Success,1,Alert,Normal,Normal,Needs Attention
EVT10060,2026-03-22,Churn_Model,West,Positive,Negative,0.86,188.9,0.09,0.048,0.155,636.85,Success,0,Normal,Alert,Normal,Needs Attention
EVT10112,2026-02-17,Fraud_Model,East,Negative,Negative,0.734,274.7,0.036,0.259,0.091,246.75,Success,1,Alert,Normal,Normal,Needs Attention
EVT10090,2026-03-30,Demand_Model,East,Positive,Positive,0.812,164.3,0.108,0.187,0.059,849.02,Failure,1,Normal,Normal,Normal,Healthy
EVT10267,2026-04-23,Fraud_Model,North,Negative,Negative,0.923,78.1,0.06,0.264,0.064,60.63,Success,1,Alert,Normal,Normal,Needs Attention
EVT10007,2026-01-21,Demand_Model,West,Negative,Positive,0.577,80.4,0.107,0.015,0.198,1487.61,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10457,2026-02-16,Churn_Model,North,Negative,Negative,0.618,119.7,0.087,0.078,0.027,353.71,Success,1,Normal,Normal,Normal,Healthy
EVT10348,2026-03-27,Churn_Model,East,Negative,Negative,0.659,208.4,0.034,0.199,0.002,946.98,Success,1,Normal,Normal,Normal,Healthy
EVT10341,2026-03-08,Churn_Model,West,Negative,Positive,0.491,209.7,0.147,0.047,0.053,148.56,Success,0,Normal,Normal,Normal,Healthy
EVT10159,2026-01-30,Fraud_Model,North,Negative,Negative,0.939,184.5,0.168,0.259,0.009,336.58,Failure,1,Alert,Normal,Normal,Needs Attention
EVT10151,2026-02-14,Fraud_Model,East,Negative,Negative,0.689,213.2,0.018,0.218,0.136,940.27,Success,1,Alert,Alert,Normal,Needs Attention
EVT10178,2026-04-28,Churn_Model,East,Negative,Positive,0.553,214.7,0.172,0.024,0.045,818.46,Failure,0,Normal,Normal,Normal,Healthy
EVT10397,2026-02-23,Churn_Model,East,Positive,Positive,0.731,141.9,0.042,0.053,0.165,236.46,Failure,1,Normal,Alert,Normal,Needs Attention
EVT10185,2026-01-12,Churn_Model,East,Positive,Negative,0.763,167.9,0.012,0.163,0.175,1311.41,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10318,2026-01-17,Fraud_Model,West,Negative,Negative,0.557,107.0,0.035,0.034,0.04,902.16,Success,1,Normal,Normal,Normal,Healthy
EVT10011,2026-03-29,Churn_Model,West,Negative,Negative,0.978,144.0,0.074,0.154,0.104,927.95,Success,1,Normal,Alert,Normal,Needs Attention
EVT10384,2026-02-20,Fraud_Model,East,Negative,Negative,0.456,242.8,0.125,0.342,0.097,688.78,Success,1,Alert,Normal,Normal,Needs Attention
EVT10104,2026-01-05,Churn_Model,South,Positive,Negative,0.609,205.6,0.103,0.262,0.028,808.66,Success,0,Alert,Normal,Normal,Needs Attention
EVT10082,2026-01-24,Demand_Model,South,Negative,Positive,0.804,250.2,0.017,0.137,0.059,1181.5,Success,0,Normal,Normal,Normal,Healthy
EVT10039,2026-02-20,Fraud_Model,West,Negative,Positive,0.687,232.3,0.141,0.227,0.142,69.77,Failure,0,Alert,Alert,Normal,Needs Attention
EVT10317,2026-02-18,Demand_Model,South,Positive,Positive,0.79,169.3,0.102,0.143,0.061,351.29,Success,1,Normal,Normal,Normal,Healthy
EVT10168,2026-01-03,Churn_Model,West,Positive,Positive,0.689,222.7,0.125,0.184,0.112,105.23,Success,1,Normal,Alert,Normal,Needs Attention
EVT10474,2026-04-06,Fraud_Model,North,Negative,Positive,0.704,220.8,0.117,0.151,0.042,128.98,Success,0,Normal,Normal,Normal,Healthy
EVT10299,2026-01-22,Demand_Model,North,Negative,Positive,0.669,149.7,0.019,0.337,0.166,296.32,Success,0,Alert,Alert,Normal,Needs Attention
EVT10405,2026-01-06,Demand_Model,West,Positive,Positive,0.747,91.8,0.113,0.278,0.062,981.03,Failure,1,Alert,Normal,Normal,Needs Attention
EVT10199,2026-05-27,Churn_Model,South,Negative,Positive,0.515,156.2,0.088,0.129,0.044,1033.81,Success,0,Normal,Normal,Normal,Healthy
EVT10377,2026-04-25,Demand_Model,West,Positive,Positive,0.495,191.1,0.03,0.088,0.057,1064.04,Failure,1,Normal,Normal,Normal,Healthy
EVT10147,2026-03-27,Churn_Model,North,Positive,Negative,0.527,145.7,0.127,0.241,0.164,1315.35,Success,0,Alert,Alert,Normal,Needs Attention
EVT10396,2026-01-15,Churn_Model,East,Positive,Positive,0.947,86.4,0.038,0.274,0.034,201.78,Success,1,Alert,Normal,Normal,Needs Attention
EVT10148,2026-01-28,Demand_Model,North,Negative,Negative,0.598,198.3,0.168,0.273,0.035,705.53,Success,1,Alert,Normal,Normal,Needs Attention
EVT10483,2026-06-09,Churn_Model,North,Positive,Positive,0.451,137.6,0.046,0.147,0.006,504.24,Failure,1,Normal,Normal,Normal,Healthy
EVT10290,2026-05-08,Fraud_Model,East,Negative,Negative,0.792,118.1,0.11,0.317,0.1,290.81,Success,1,Alert,Alert,Normal,Needs Attention
EVT10124,2026-01-05,Demand_Model,East,Positive,Positive,0.751,111.0,0.121,0.265,0.181,1464.01,Success,1,Alert,Alert,Normal,Needs Attention
EVT10372,2026-01-20,Fraud_Model,West,Positive,Positive,0.673,242.3,0.101,0.262,0.018,150.27,Success,1,Alert,Normal,Normal,Needs Attention
EVT10097,2026-05-19,Churn_Model,South,Positive,Negative,0.977,188.3,0.068,0.111,0.091,1257.0,Success,0,Normal,Normal,Normal,Healthy
EVT10144,2026-01-13,Demand_Model,West,Positive,Negative,0.589,271.4,0.102,0.184,0.188,204.19,Success,0,Normal,Alert,Normal,Needs Attention
EVT10240,2026-02-11,Demand_Model,South,Positive,Negative,0.624,163.7,0.159,0.256,0.155,408.73,Success,0,Alert,Alert,Normal,Needs Attention
EVT10276,2026-05-26,Churn_Model,East,Positive,Negative,0.554,254.8,0.151,0.302,0.057,1177.83,Success,0,Alert,Normal,Normal,Needs Attention
EVT10098,2026-03-22,Demand_Model,North,Positive,Positive,0.895,261.4,0.136,0.166,0.136,1464.44,Success,1,Normal,Alert,Normal,Needs Attention
EVT10353,2026-01-17,Churn_Model,North,Positive,Positive,0.927,122.6,0.14,0.024,0.063,1491.42,Success,1,Normal,Normal,Normal,Healthy
EVT10123,2026-01-01,Churn_Model,West,Positive,Negative,0.866,259.9,0.1,0.124,0.012,1389.96,Success,0,Normal,Normal,Normal,Healthy
EVT10184,2026-02-21,Churn_Model,East,Negative,Negative,0.63,150.3,0.046,0.344,0.045,859.61,Failure,1,Alert,Normal,Normal,Needs Attention
EVT10203,2026-06-21,Demand_Model,South,Positive,Positive,0.865,255.7,0.155,0.296,0.138,621.5,Success,1,Alert,Alert,Normal,Needs Attention
EVT10247,2026-04-23,Churn_Model,South,Negative,Positive,0.761,203.7,0.035,0.336,0.009,1238.43,Failure,0,Alert,Normal,Normal,Needs Attention
EVT10308,2026-01-30,Fraud_Model,North,Positive,Negative,0.522,123.6,0.149,0.322,0.026,110.07,Success,0,Alert,Normal,Normal,Needs Attention
EVT10423,2026-03-04,Churn_Model,South,Positive,Negative,0.751,110.9,0.17,0.291,0.023,905.0,Success,0,Alert,Normal,Normal,Needs Attention
EVT10354,2026-04-14,Demand_Model,South,Positive,Positive,0.507,177.7,0.124,0.207,0.05,66.06,Success,1,Alert,Normal,Normal,Needs Attention
EVT10303,2026-02-20,Churn_Model,East,Negative,Negative,0.71,195.3,0.119,0.015,0.047,649.83,Success,1,Normal,Normal,Normal,Healthy
EVT10399,2026-01-08,Fraud_Model,West,Negative,Negative,0.535,158.6,0.076,0.158,0.068,138.31,Success,1,Normal,Normal,Normal,Healthy
EVT10287,2026-01-21,Fraud_Model,East,Positive,Negative,0.546,239.1,0.077,0.25,0.047,1204.9,Failure,0,Alert,Normal,Normal,Needs Attention
EVT10126,2026-04-13,Fraud_Model,East,Positive,Negative,0.613,261.2,0.105,0.345,0.055,489.38,Success,0,Alert,Normal,Normal,Needs Attention
EVT10305,2026-01-27,Fraud_Model,South,Negative,Positive,0.659,120.7,0.139,0.116,0.171,890.45,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10224,2026-03-31,Demand_Model,West,Negative,Positive,0.922,237.8,0.094,0.098,0.003,324.46,Success,0,Normal,Normal,Normal,Healthy
EVT10422,2026-04-30,Churn_Model,East,Positive,Positive,0.854,179.5,0.065,0.017,0.101,911.37,Success,1,Normal,Alert,Normal,Needs Attention
EVT10220,2026-01-03,Churn_Model,West,Positive,Positive,0.725,237.7,0.163,0.235,0.152,935.05,Success,1,Alert,Alert,Normal,Needs Attention
EVT10130,2026-03-31,Fraud_Model,East,Negative,Negative,0.887,283.5,0.115,0.241,0.188,1030.35,Failure,1,Alert,Alert,Normal,Needs Attention
EVT10424,2026-01-19,Demand_Model,East,Positive,Positive,0.548,252.2,0.166,0.134,0.034,147.7,Failure,1,Normal,Normal,Normal,Healthy
EVT10292,2026-05-15,Demand_Model,West,Negative,Negative,0.576,263.2,0.072,0.282,0.05,1051.55,Success,1,Alert,Normal,Normal,Needs Attention
EVT10492,2026-06-28,Fraud_Model,South,Negative,Negative,0.841,105.1,0.149,0.177,0.127,519.41,Success,1,Normal,Alert,Normal,Needs Attention
EVT10394,2026-06-19,Churn_Model,East,Positive,Positive,0.512,310.9,0.117,0.22,0.082,182.4,Success,1,Alert,Normal,Alert,Needs Attention
EVT10479,2026-01-24,Churn_Model,North,Negative,Negative,0.871,369.2,0.047,0.183,0.037,1102.86,Success,1,Normal,Normal,Alert,Needs Attention
EVT10358,2026-06-25,Churn_Model,East,Negative,Negative,0.471,80.9,0.092,0.243,0.001,234.98,Success,1,Alert,Normal,Normal,Needs Attention
EVT10297,2026-04-25,Churn_Model,North,Negative,Negative,0.841,100.2,0.084,0.113,0.177,464.56,Success,1,Normal,Alert,Normal,Needs Attention
EVT10370,2026-02-05,Demand_Model,South,Negative,Positive,0.873,257.2,0.095,0.228,0.064,506.77,Success,0,Alert,Normal,Normal,Needs Attention
EVT10343,2026-06-23,Churn_Model,East,Positive,Positive,0.952,276.1,0.031,0.225,0.056,1437.94,Success,1,Alert,Normal,Normal,Needs Attention
EVT10113,2026-05-31,Demand_Model,North,Negative,Negative,0.511,83.2,0.163,0.31,0.04,1345.77,Success,1,Alert,Normal,Normal,Needs Attention
EVT10180,2026-04-06,Demand_Model,West,Positive,Positive,0.654,157.7,0.047,0.072,0.157,909.52,Success,1,Normal,Alert,Normal,Needs Attention
EVT10419,2026-06-07,Fraud_Model,East,Negative,Positive,0.793,281.8,0.143,0.08,0.198,1196.5,Success,0,Normal,Alert,Normal,Needs Attention
EVT10342,2026-04-14,Churn_Model,West,Negative,Negative,0.601,286.3,0.031,0.325,0.056,312.78,Success,1,Alert,Normal,Normal,Needs Attention
EVT10333,2026-06-09,Fraud_Model,South,Negative,Negative,0.914,293.5,0.143,0.303,0.01,937.8,Success,1,Alert,Normal,Normal,Needs Attention
EVT10486,2026-05-20,Churn_Model,South,Negative,Positive,0.54,98.0,0.136,0.262,0.168,59.88,Success,0,Alert,Alert,Normal,Needs Attention
EVT10363,2026-02-19,Fraud_Model,East,Positive,Negative,0.469,123.5,0.143,0.243,0.026,1066.05,Success,0,Alert,Normal,Normal,Needs Attention
EVT10234,2026-04-14,Demand_Model,South,Positive,Negative,0.814,327.4,0.179,0.141,0.066,148.76,Success,0,Normal,Normal,Alert,Needs Attention
EVT10472,2026-05-18,Fraud_Model,West,Positive,Negative,0.858,110.9,0.074,0.052,0.05,270.23,Success,0,Normal,Normal,Normal,Healthy
EVT10165,2026-01-27,Demand_Model,North,Positive,Positive,0.648,243.0,0.157,0.053,0.105,481.17,Failure,1,Normal,Alert,Normal,Needs Attention
EVT10137,2026-04-06,Fraud_Model,East,Positive,Positive,0.705,255.7,0.164,0.018,0.071,551.16,Success,1,Normal,Normal,Normal,Healthy
EVT10198,2026-05-09,Fraud_Model,South,Negative,Positive,0.657,179.0,0.049,0.025,0.105,333.04,Success,0,Normal,Alert,Normal,Needs Attention
EVT10259,2026-05-28,Demand_Model,East,Positive,Negative,0.708,74.6,0.154,0.29,0.111,917.11,Success,0,Alert,Alert,Normal,Needs Attention
EVT10233,2026-03-23,Churn_Model,North,Positive,Positive,0.789,191.8,0.116,0.252,0.124,780.14,Success,1,Alert,Alert,Normal,Needs Attention
EVT10116,2026-04-09,Fraud_Model,North,Negative,Positive,0.728,132.4,0.113,0.208,0.142,1495.02,Failure,0,Alert,Alert,Normal,Needs Attention
EVT10121,2026-06-24,Demand_Model,North,Positive,Negative,0.645,135.5,0.178,0.093,0.038,818.09,Success,0,Normal,Normal,Normal,Healthy
EVT10352,2026-05-10,Churn_Model,West,Positive,Negative,0.693,154.1,0.03,0.079,0.156,1164.93,Success,0,Normal,Alert,Normal,Needs Attention
EVT10225,2026-05-27,Fraud_Model,North,Positive,Positive,0.537,101.9,0.097,0.216,0.136,716.03,Success,1,Alert,Alert,Normal,Needs Attention
EVT10406,2026-04-19,Fraud_Model,South,Negative,Positive,0.66,175.1,0.052,0.152,0.024,449.53,Success,0,Normal,Normal,Normal,Healthy
EVT10437,2026-01-01,Demand_Model,North,Negative,Positive,0.635,172.4,0.113,0.22,0.005,475.63,Success,0,Alert,Normal,Normal,Needs Attention
EVT10128,2026-05-17,Churn_Model,South,Negative,Positive,0.91,193.9,0.045,0.266,0.059,960.77,Success,0,Alert,Normal,Normal,Needs Attention
EVT10286,2026-05-22,Demand_Model,East,Positive,Negative,0.593,127.8,0.168,0.286,0.189,1476.85,Success,0,Alert,Alert,Normal,Needs Attention
EVT10415,2026-01-13,Churn_Model,South,Positive,Negative,0.621,173.4,0.143,0.066,0.131,420.83,Failure,0,Normal,Alert,Normal,Needs Attention
EVT10108,2026-03-13,Demand_Model,South,Negative,Positive,0.679,141.0,0.151,0.111,0.198,996.78,Success,0,Normal,Alert,Normal,Needs Attention
EVT10374,2026-01-08,Demand_Model,East,Negative,Negative,0.898,113.3,0.083,0.212,0.039,419.08,Failure,1,Alert,Normal,Normal,Needs Attention
EVT10371,2026-06-22,Fraud_Model,South,Negative,Negative,0.642,217.7,0.13,0.037,0.052,375.67,Success,1,Normal,Normal,Normal,Healthy
EVT10134,2026-03-04,Fraud_Model,West,Positive,Negative,0.533,160.8,0.057,0.121,0.05,1195.52,Success,0,Normal,Normal,Normal,Healthy
EVT10400,2026-02-22,Fraud_Model,East,Negative,Negative,0.474,358.4,0.043,0.145,0.161,94.85,Success,1,Normal,Alert,Alert,Needs Attention
EVT10045,2026-05-12,Demand_Model,North,Positive,Negative,0.61,175.9,0.132,0.153,0.045,1346.89,Success,0,Normal,Normal,Normal,Healthy
EVT10465,2026-04-11,Fraud_Model,North,Positive,Positive,0.908,152.7,0.086,0.17,0.029,949.54,Success,1,Normal,Normal,Normal,Healthy
EVT10066,2026-05-14,Churn_Model,North,Positive,Positive,0.889,410.5,0.143,0.291,0.04,740.87,Failure,1,Alert,Normal,Alert,Needs Attention
EVT10284,2026-03-09,Churn_Model,North,Negative,Positive,0.49,119.7,0.018,0.042,0.132,704.77,Success,0,Normal,Alert,Normal,Needs Attention
EVT10086,2026-06-06,Churn_Model,North,Negative,Negative,0.555,166.8,0.055,0.317,0.127,763.48,Success,1,Alert,Alert,Normal,Needs Attention
EVT10243,2026-05-24,Churn_Model,North,Negative,Positive,0.571,158.5,0.153,0.209,0.13,651.93,Success,0,Alert,Alert,Normal,Needs Attention
EVT10187,2026-05-10,Churn_Model,West,Negative,Negative,0.969,198.7,0.151,0.346,0.15,940.88,Success,1,Alert,Alert,Normal,Needs Attention
EVT10387,2026-05-05,Churn_Model,East,Negative,Positive,0.487,168.4,0.149,0.282,0.043,138.35,Success,0,Alert,Normal,Normal,Needs Attention
EVT10160,2026-03-16,Fraud_Model,East,Positive,Negative,0.867,259.2,0.139,0.247,0.044,311.75,Success,0,Alert,Normal,Normal,Needs Attention
EVT10013,2026-04-10,Fraud_Model,West,Negative,Negative,0.459,235.9,0.125,0.213,0.15,1264.42,Success,1,Alert,Alert,Normal,Needs Attention
EVT10036,2026-02-24,Churn_Model,West,Negative,Positive,0.801,189.4,0.091,0.278,0.141,467.96,Success,0,Alert,Alert,Normal,Needs Attention
EVT10029,2026-02-18,Demand_Model,South,Positive,Positive,0.622,110.3,0.091,0.08,0.118,1229.48,Success,1,Normal,Alert,Normal,Needs Attention
EVT10171,2026-05-17,Churn_Model,West,Negative,Positive,0.488,313.2,0.1,0.175,0.051,361.63,Success,0,Normal,Normal,Alert,Needs Attention
EVT10143,2026-02-05,Fraud_Model,East,Negative,Negative,0.794,130.3,0.133,0.343,0.146,773.99,Success,1,Alert,Alert,Normal,Needs Attention
EVT10417,2026-05-04,Demand_Model,South,Negative,Positive,0.59,376.7,0.03,0.013,0.016,288.7,Success,0,Normal,Normal,Alert,Needs Attention
EVT10425,2026-04-02,Churn_Model,North,Negative,Positive,0.479,136.9,0.012,0.13,0.07,1255.73,Success,0,Normal,Normal,Normal,Healthy
EVT10222,2026-06-13,Demand_Model,West,Negative,Positive,0.601,396.0,0.178,0.143,0.055,218.87,Success,0,Normal,Normal,Alert,Needs Attention
EVT10096,2026-03-04,Fraud_Model,North,Positive,Negative,0.666,177.7,0.066,0.015,0.068,995.26,Failure,0,Normal,Normal,Normal,Healthy
EVT10052,2026-05-10,Fraud_Model,East,Positive,Positive,0.746,366.7,0.016,0.17,0.171,1483.81,Failure,1,Normal,Alert,Alert,Needs Attention
EVT10241,2026-04-09,Fraud_Model,East,Negative,Negative,0.462,294.0,0.176,0.264,0.009,1306.12,Success,1,Alert,Normal,Normal,Needs Attention
EVT10376,2026-05-22,Fraud_Model,West,Positive,Negative,0.679,233.7,0.092,0.033,0.125,112.81,Success,0,Normal,Alert,Normal,Needs Attention
EVT10382,2026-02-01,Churn_Model,North,Positive,Positive,0.977,219.3,0.159,0.213,0.152,794.1,Success,1,Alert,Alert,Normal,Needs Attention
EVT10179,2026-06-09,Churn_Model,West,Negative,Negative,0.478,243.9,0.099,0.173,0.179,1033.67,Success,1,Normal,Alert,Normal,Needs Attention
EVT10042,2026-03-14,Churn_Model,North,Negative,Negative,0.621,178.8,0.042,0.192,0.153,264.92,Success,1,Normal,Alert,Normal,Needs Attention
EVT10440,2026-05-06,Churn_Model,West,Positive,Negative,0.851,192.3,0.117,0.275,0.026,858.24,Success,0,Alert,Normal,Normal,Needs Attention
EVT10391,2026-03-27,Fraud_Model,West,Positive,Negative,0.624,211.1,0.169,0.084,0.0935,652.5,Success,0,Normal,Normal,Normal,Healthy
EVT10207,2026-05-03,Fraud_Model,South,Negative,Positive,0.589,137.2,0.074,0.045,0.179,662.85,Success,0,Normal,Alert,Normal,Needs Attention
EVT10283,2026-06-10,Churn_Model,East,Positive,Negative,0.542,241.6,0.089,0.237,0.179,708.7,Success,0,Alert,Alert,Normal,Needs Attention
